DISTRICT,SchoolName,district_schoolname,tested or not?,not found in testing data list,count of schools
Lawndale Elementary,Mark Twain Elementary,Lawndale Elementary_Mark Twain Elementary,#N/A,TRUE,6
Lennox,Jefferson Elementary,Lennox_Jefferson Elementary,#N/A,TRUE,22
San Marino Unified,Carver Elementary,San Marino Unified_Carver Elementary,#N/A,TRUE,4
San Gabriel Unified,Wilson Elementary,San Gabriel Unified_Wilson Elementary,#N/A,TRUE,15
East Whittier City Elementary,Ocean View Elementary,East Whittier City Elementary_Ocean View Elementary,#N/A,TRUE,3
Whittier City Elementary,Longfellow Elementary,Whittier City Elementary_Longfellow Elementary,#N/A,TRUE,6
East Whittier City Elementary,Laurel Elementary,East Whittier City Elementary_Laurel Elementary,#N/A,TRUE,5
Burbank Unified,Bret Harte Elementary,Burbank Unified_Bret Harte Elementary,#N/A,TRUE,4
Burbank Unified,John Muir Middle,Burbank Unified_John Muir Middle,#N/A,TRUE,4
Burbank Unified,Joaquin Miller Elementary,Burbank Unified_Joaquin Miller Elementary,#N/A,TRUE,2
Burbank Unified,George Washington Elementary,Burbank Unified_George Washington Elementary,#N/A,TRUE,7
Norwalk-La Mirada Unified,Cesar Chavez Elementary,Norwalk-La Mirada Unified_Cesar Chavez Elementary,#N/A,TRUE,6
Santa Monica-Malibu Unified,Webster Elementary,Santa Monica-Malibu Unified_Webster Elementary,#N/A,TRUE,5
Torrance Unified,Lincoln Elementary,Torrance Unified_Lincoln Elementary,#N/A,TRUE,25
Long Beach Unified,Madison Elementary,Long Beach Unified_Madison Elementary,#N/A,TRUE,10
Saugus Union,North Park Elementary,Saugus Union_North Park Elementary,#N/A,TRUE,2
Castaic Union,Live Oak Elementary,Castaic Union_Live Oak Elementary,#N/A,TRUE,4
Chowchilla Elementary,Wilson Middle,Chowchilla Elementary_Wilson Middle,#N/A,TRUE,3
Madera Unified,Cesar Chavez Elementary,Madera Unified_Cesar Chavez Elementary,#N/A,TRUE,6
Ross Valley Elementary,Brookside Elementary,Ross Valley Elementary_Brookside Elementary,#N/A,TRUE,4
Atwater Elementary,Mitchell Elementary,Atwater Elementary_Mitchell Elementary,#N/A,TRUE,2
Merced City Elementary,John C. Fremont Elementary,Merced City Elementary_John C. Fremont Elementary,#N/A,TRUE,4
Merced City Elementary,John Muir Elementary,Merced City Elementary_John Muir Elementary,#N/A,TRUE,8
Weaver Union,Pioneer Elementary,Weaver Union_Pioneer Elementary,#N/A,TRUE,7
Monterey Peninsula Unified,Monte Vista,Monterey Peninsula Unified_Monte Vista,#N/A,TRUE,2
Monterey Peninsula Unified,Foothill Elementary,Monterey Peninsula Unified_Foothill Elementary,#N/A,TRUE,6
King City Union,Del Rey Elementary,King City Union_Del Rey Elementary,#N/A,TRUE,5
Salinas City Elementary,Lincoln Elementary,Salinas City Elementary_Lincoln Elementary,#N/A,TRUE,25
Salinas City Elementary,Loma Vista Elementary,Salinas City Elementary_Loma Vista Elementary,#N/A,TRUE,4
Salinas City Elementary,Roosevelt Elementary,Salinas City Elementary_Roosevelt Elementary,#N/A,TRUE,15
Salinas Union High,Washington Middle,Salinas Union High_Washington Middle,#N/A,TRUE,5
Napa Valley Unified,Northwood Elementary,Napa Valley Unified_Northwood Elementary,#N/A,TRUE,4
Placentia-Yorba Linda Unified,Rio Vista Elementary,Placentia-Yorba Linda Unified_Rio Vista Elementary,#N/A,TRUE,6
Anaheim Elementary,Westmont Elementary,Anaheim Elementary_Westmont Elementary,#N/A,TRUE,2
Anaheim Elementary,Olive Street Elementary,Anaheim Elementary_Olive Street Elementary,#N/A,TRUE,2
Brea-Olinda Unified,Laurel Elementary,Brea-Olinda Unified_Laurel Elementary,#N/A,TRUE,5
Newport-Mesa Unified,Adams Elementary,Newport-Mesa Unified_Adams Elementary,#N/A,TRUE,5
Newport-Mesa Unified,Victoria Elementary,Newport-Mesa Unified_Victoria Elementary,#N/A,TRUE,3
Newport-Mesa Unified,Wilson Elementary,Newport-Mesa Unified_Wilson Elementary,#N/A,TRUE,15
Fullerton Elementary,Maple Elementary,Fullerton Elementary_Maple Elementary,#N/A,TRUE,5
La Habra City Elementary,Sierra Vista Elementary,La Habra City Elementary_Sierra Vista Elementary,#N/A,TRUE,6
Newport-Mesa Unified,Abraham Lincoln Elementary,Newport-Mesa Unified_Abraham Lincoln Elementary,#N/A,TRUE,7
Orange Unified,Jordan Elementary,Orange Unified_Jordan Elementary,#N/A,TRUE,2
Placentia-Yorba Linda Unified,Sierra Vista Elementary,Placentia-Yorba Linda Unified_Sierra Vista Elementary,#N/A,TRUE,6
Placentia-Yorba Linda Unified,Van Buren Elementary,Placentia-Yorba Linda Unified_Van Buren Elementary,#N/A,TRUE,2
Santa Ana Unified,Adams Elementary,Santa Ana Unified_Adams Elementary,#N/A,TRUE,5
Santa Ana Unified,Jefferson Elementary,Santa Ana Unified_Jefferson Elementary,#N/A,TRUE,22
Santa Ana Unified,Garfield Elementary,Santa Ana Unified_Garfield Elementary,#N/A,TRUE,10
Santa Ana Unified,Fremont Elementary,Santa Ana Unified_Fremont Elementary,#N/A,TRUE,9
Santa Ana Unified,Wilson Elementary,Santa Ana Unified_Wilson Elementary,#N/A,TRUE,15
Santa Ana Unified,John F. Kennedy Elementary,Santa Ana Unified_John F. Kennedy Elementary,#N/A,TRUE,6
Santa Ana Unified,Madison Elementary,Santa Ana Unified_Madison Elementary,#N/A,TRUE,10
Santa Ana Unified,Franklin Elementary,Santa Ana Unified_Franklin Elementary,#N/A,TRUE,14
Santa Ana Unified,Martin Luther King Jr. Elementary,Santa Ana Unified_Martin Luther King Jr. Elementary,#N/A,TRUE,3
Santa Ana Unified,Monroe Elementary,Santa Ana Unified_Monroe Elementary,#N/A,TRUE,7
Santa Ana Unified,Washington Elementary,Santa Ana Unified_Washington Elementary,#N/A,TRUE,23
Santa Ana Unified,Lowell Elementary,Santa Ana Unified_Lowell Elementary,#N/A,TRUE,4
Santa Ana Unified,Abraham Lincoln Elementary,Santa Ana Unified_Abraham Lincoln Elementary,#N/A,TRUE,7
Santa Ana Unified,Monte Vista Elementary,Santa Ana Unified_Monte Vista Elementary,#N/A,TRUE,9
